ID;start;end;code;text;group
1;0,1;1106,86;Temps;Alba;
1;0,1;1106,86;Temps;Vermaelen;
1;0,1;1106,86;Temps;Mascherano;
1;0,1;1106,86;Temps;Alves;
1;0,1;1106,86;Temps;Busquets;
1;0,1;1106,86;Temps;Iniesta;
1;0,1;1106,86;Temps;Rakitic;
1;0,1;1106,86;Temps;Rafinha;
1;0,1;1106,86;Temps;Messi;
1;0,1;1106,86;Temps;Suarez;
1;0,1;1106,86;Temps;Exterieur;Lieu
1;0,1;1106,86;Temps;J1;Journee
1;0,1;1106,86;Temps;All;
1;0,1;1106,86;Temps;CPN;Competition
2;1107,06004;2883,300039;Temps;Mascherano;
2;1107,06004;2883,300039;Temps;Alba;
2;1107,06004;2883,300039;Temps;Vermaelen;
2;1107,06004;2883,300039;Temps;Roberto;
2;1107,06004;2883,300039;Temps;Busquets;
2;1107,06004;2883,300039;Temps;Rakitic;
2;1107,06004;2883,300039;Temps;Iniesta;
2;1107,06004;2883,300039;Temps;Rafinha;
2;1107,06004;2883,300039;Temps;Messi;
2;1107,06004;2883,300039;Temps;Suarez;
2;1107,06004;2883,300039;Temps;Exterieur;Lieu
2;1107,06004;2883,300039;Temps;J1;Journee
2;1107,06004;2883,300039;Temps;All;
2;1107,06004;2883,300039;Temps;CPN;Competition
3;1909,34;1927,54004;EQ1;J1;Journee
3;1909,34;1927,54004;EQ1;Exterieur;Lieu
3;1909,34;1927,54004;EQ1;AP;Type phase
3;1909,34;1927,54004;EQ1;Busquets;Av Av DP
3;1909,34;1927,54004;EQ1;Mascherano;Av DP
3;1909,34;1927,54004;EQ1;Rafinha;DP
3;1909,34;1927,54004;EQ1;Iniesta;FNT
3;1909,34;1927,54004;EQ1;1/2 occasions;Finalite
3;1909,34;1927,54004;EQ1;All;
3;1909,34;1927,54004;EQ1;0;Score
3;1909,34;1927,54004;EQ1;31-45;Periode
3;1909,34;1927,54004;EQ1;CPN;Competition
4;2018,62004;2034,78004;EQ1;J1;Journee
4;2018,62004;2034,78004;EQ1;Exterieur;Lieu
4;2018,62004;2034,78004;EQ1;AP;Type phase
4;2018,62004;2034,78004;EQ1;Busquets;Av Av DP
4;2018,62004;2034,78004;EQ1;Mascherano;Av DP
4;2018,62004;2034,78004;EQ1;Roberto;DP
4;2018,62004;2034,78004;EQ1;Suarez;FNT
4;2018,62004;2034,78004;EQ1;Occasions;Finalite
4;2018,62004;2034,78004;EQ1;All;
4;2018,62004;2034,78004;EQ1;31-45;Periode
4;2018,62004;2034,78004;EQ1;0;Score
4;2018,62004;2034,78004;EQ1;Passes clees;Av DP
4;2018,62004;2034,78004;EQ1;Passes clees;DP
4;2018,62004;2034,78004;EQ1;CPN;Competition
5;2471,34004;2488,62004;EQ1;J1;Journee
5;2471,34004;2488,62004;EQ1;Exterieur;Lieu
5;2471,34004;2488,62004;EQ1;AR;Type phase
5;2471,34004;2488,62004;EQ1;Suarez;Av Av DP
5;2471,34004;2488,62004;EQ1;Iniesta;Av DP
5;2471,34004;2488,62004;EQ1;Messi;DP
5;2471,34004;2488,62004;EQ1;Suarez;FNT
5;2471,34004;2488,62004;EQ1;1/2 occasions;Finalite
5;2471,34004;2488,62004;EQ1;All;
5;2471,34004;2488,62004;EQ1;31-45;Periode
5;2471,34004;2488,62004;EQ1;0;Score
5;2471,34004;2488,62004;EQ1;Passes clees;Av DP
5;2471,34004;2488,62004;EQ1;Passes clees;DP
5;2471,34004;2488,62004;EQ1;CPN;Competition
6;2883,501668;4206,501667;Temps;Mascherano;
6;2883,501668;4206,501667;Temps;Alba;
6;2883,501668;4206,501667;Temps;Vermaelen;
6;2883,501668;4206,501667;Temps;Roberto;
6;2883,501668;4206,501667;Temps;Busquets;
6;2883,501668;4206,501667;Temps;Rakitic;
6;2883,501668;4206,501667;Temps;Iniesta;
6;2883,501668;4206,501667;Temps;Rafinha;
6;2883,501668;4206,501667;Temps;Messi;
6;2883,501668;4206,501667;Temps;Suarez;
6;2883,501668;4206,501667;Temps;Exterieur;Lieu
6;2883,501668;4206,501667;Temps;J1;Journee
6;2883,501668;4206,501667;Temps;All;
6;2883,501668;4206,501667;Temps;CPN;Competition
7;3397,621667;3417,941707;EQ1;J1;Journee
7;3397,621667;3417,941707;EQ1;Exterieur;Lieu
7;3397,621667;3417,941707;EQ1;AP;Type phase
7;3397,621667;3417,941707;EQ1;Iniesta;Av Av DP
7;3397,621667;3417,941707;EQ1;Rakitic;Av DP
7;3397,621667;3417,941707;EQ1;Alba;DP
